Filename: C:\Users\japan\OneDrive - University of Twente\Documenten\Extraction and Dissemination\photogrammetry_project\images\ortho.tif
ROI: Built-up [Red] 3392 points

Basic Stats	  Min	  Max	      Mean	    Stdev
     Band 1	   75	  236	180.775943	45.100771
     Band 2	   91	  225	168.137677	37.759513
     Band 3	   96	  215	156.856132	35.138139

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
           	  165	      0	   1853	  0.0000	 54.6285
           	  166	      5	   1858	  0.1474	 54.7759
           	  167	      4	   1862	  0.1179	 54.8939
           	  168	      6	   1868	  0.1769	 55.0708
           	  169	      3	   1871	  0.0884	 55.1592
           	  170	      0	   1871	  0.0000	 55.1592
           	  171	      1	   1872	  0.0295	 55.1887
           	  172	      6	   1878	  0.1769	 55.3656
           	  173	      8	   1886	  0.2358	 55.6014
           	  174	      8	   1894	  0.2358	 55.8373
           	  175	     10	   1904	  0.2948	 56.1321
           	  176	     12	   1916	  0.3538	 56.4858
           	  177	     20	   1936	  0.5896	 57.0755
           	  178	     26	   1962	  0.7665	 57.8420
           	  179	     58	   2020	  1.7099	 59.5519
           	  180	     90	   2110	  2.6533	 62.2052
           	  181	    130	   2240	  3.8325	 66.0377
           	  182	    148	   2388	  4.3632	 70.4009
           	  183	     54	   2442	  1.5920	 71.9929
           	  184	     41	   2483	  1.2087	 73.2017
           	  185	     49	   2532	  1.4446	 74.6462
           	  186	     36	   2568	  1.0613	 75.7075
           	  187	     31	   2599	  0.9139	 76.6215
           	  188	     46	   2645	  1.3561	 77.9776
           	  189	     45	   2690	  1.3267	 79.3042
           	  190	     47	   2737	  1.3856	 80.6899
           	  191	     40	   2777	  1.1792	 81.8691
           	  192	     43	   2820	  1.2677	 83.1368
           	  193	     39	   2859	  1.1498	 84.2866
           	  194	     38	   2897	  1.1203	 85.4068
           	  195	     22	   2919	  0.6486	 86.0554
           	  196	     22	   2941	  0.6486	 86.7040
           	  197	     22	   2963	  0.6486	 87.3526
           	  198	     10	   2973	  0.2948	 87.6474
           	  199	      9	   2982	  0.2653	 87.9127
           	  200	      6	   2988	  0.1769	 88.0896
           	  201	      8	   2996	  0.2358	 88.3255
           	  202	     10	   3006	  0.2948	 88.6203
           	  203	      2	   3008	  0.0590	 88.6792
           	  204	      2	   3010	  0.0590	 88.7382
           	  205	      1	   3011	  0.0295	 88.7677
           	  206	      5	   3016	  0.1474	 88.9151
           	  207	      6	   3022	  0.1769	 89.0920
           	  208	     10	   3032	  0.2948	 89.3868
           	  209	     16	   3048	  0.4717	 89.8585
           	  210	     75	   3123	  2.2111	 92.0696
           	  211	    107	   3230	  3.1545	 95.2241
           	  212	     98	   3328	  2.8892	 98.1132
           	  213	     51	   3379	  1.5035	 99.6167
           	  214	     11	   3390	  0.3243	 99.9410
           	  215	      2	   3392	  0.0590	100.0000

Stats for ROI: Vegetation [Green] 3719 points
Basic Stats	  Min	  Max	      Mean	    Stdev
     Band 1	   41	  231	128.048400	25.652629
     Band 2	   53	  220	130.274536	24.682158
     Band 3	   24	  185	100.630546	19.753350

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 1     	   41	      2	      2	  0.0538	  0.0538
           	   42	      1	      3	  0.0269	  0.0807
           	   43	      1	      4	  0.0269	  0.1076
           	   44	      2	      6	  0.0538	  0.1613
           	   45	      0	      6	  0.0000	  0.1613
           	   46	      3	      9	  0.0807	  0.2420
           	   47	      5	     14	  0.1344	  0.3764
           	   48	      5	     19	  0.1344	  0.5109
           	   49	      3	     22	  0.0807	  0.5916
           	   50	      5	     27	  0.1344	  0.7260
           	   51	      7	     34	  0.1882	  0.9142
           	   52	      4	     38	  0.1076	  1.0218
           	   53	      5	     43	  0.1344	  1.1562
           	   54	     11	     54	  0.2958	  1.4520
           	   55	      5	     59	  0.1344	  1.5864
           	   56	      8	     67	  0.2151	  1.8016
           	   57	     11	     78	  0.2958	  2.0973
           	   58	      9	     87	  0.2420	  2.3393
           	   59	     18	    105	  0.4840	  2.8233
           	   60	     13	    118	  0.3496	  3.1729
           	   61	     10	    128	  0.2689	  3.4418
           	   62	     11	    139	  0.2958	  3.7376
           	   63	     12	    151	  0.3227	  4.0602
           	   64	     18	    169	  0.4840	  4.5442
           	   65	     12	    181	  0.3227	  4.8669
           	   66	     11	    192	  0.2958	  5.1627
           	   67	     11	    203	  0.2958	  5.4585
           	   68	     10	    213	  0.2689	  5.7273
           	   69	      7	    220	  0.1882	  5.9156
           	   70	      6	    226	  0.1613	  6.0769
           	   71	      4	    230	  0.1076	  6.1845
           	   72	      3	    233	  0.0807	  6.2651
           	   73	      3	    236	  0.0807	  6.3458
           	   74	      4	    240	  0.1076	  6.4533
           	   75	      1	    241	  0.0269	  6.4802
           	   76	      3	    244	  0.0807	  6.5609
           	   77	      2	    246	  0.0538	  6.6147
           	   78	      0	    246	  0.0000	  6.6147
           	   79	      4	    250	  0.1076	  6.7222
           	   80	      0	    250	  0.0000	  6.7222
           	   81	      1	    251	  0.0269	  6.7491
           	   82	      2	    253	  0.0538	  6.8029
           	   83	      2	    255	  0.0538	  6.8567
           	   84	      0	    255	  0.0000	  6.8567
           	   85	      3	    258	  0.0807	  6.9373
           	   86	      2	    260	  0.0538	  6.9911
           	   87	      3	    263	  0.0807	  7.0718
           	   88	      5	    268	  0.1344	  7.2062
           	   89	      0	    268	  0.0000	  7.2062
           	   90	      1	    269	  0.0269	  7.2331
           	   91	      0	    269	  0.0000	  7.2331
           	   92	      3	    272	  0.0807	  7.3138
           	   93	      4	    276	  0.1076	  7.4213
           	   94	      2	    278	  0.0538	  7.4751
           	   95	      9	    287	  0.2420	  7.7171
           	   96	      6	    293	  0.1613	  7.8785
           	   97	      7	    300	  0.1882	  8.0667
           	   98	      9	    309	  0.2420	  8.3087
           	   99	      7	    316	  0.1882	  8.4969
           	  100	      7	    323	  0.1882	  8.6851
           	  101	     12	    335	  0.3227	  9.0078
           	  102	     13	    348	  0.3496	  9.3574
           	  103	     11	    359	  0.2958	  9.6531
           	  104	     11	    370	  0.2958	  9.9489
           	  105	     10	    380	  0.2689	 10.2178
           	  106	     21	    401	  0.5647	 10.7825
           	  107	     22	    423	  0.5916	 11.3740
           	  108	     38	    461	  1.0218	 12.3958
           	  109	     39	    500	  1.0487	 13.4445
           	  110	     34	    534	  0.9142	 14.3587
           	  111	     48	    582	  1.2907	 15.6494
           	  112	     38	    620	  1.0218	 16.6711
           	  113	     41	    661	  1.1024	 17.7736
           	  114	     44	    705	  1.1831	 18.9567
           	  115	     46	    751	  1.2369	 20.1936
           	  116	     36	    787	  0.9680	 21.1616
           	  117	     39	    826	  1.0487	 22.2103
           	  118	     31	    857	  0.8336	 23.0438
           	  119	     32	    889	  0.8604	 23.9043
           	  120	     42	    931	  1.1293	 25.0336
           	  121	     33	    964	  0.8873	 25.9209
           	  122	     53	   1017	  1.4251	 27.3461
           	  123	     36	   1053	  0.9680	 28.3141
           	  124	     43	   1096	  1.1562	 29.4703
           	  125	     40	   1136	  1.0756	 30.5458
           	  126	     51	   1187	  1.3713	 31.9172
           	  127	     77	   1264	  2.0704	 33.9876
           	  128	     81	   1345	  2.1780	 36.1656
           	  129	    123	   1468	  3.3073	 39.4730
           	  130	    138	   1606	  3.7107	 43.1837
           	  131	    147	   1753	  3.9527	 47.1363
           	  132	    201	   1954	  5.4047	 52.5410
           	  133	    224	   2178	  6.0231	 58.5641
           	  134	    177	   2355	  4.7593	 63.3235
           	  135	    172	   2527	  4.6249	 67.9484
           	  136	    152	   2679	  4.0871	 72.0355
           	  137	    146	   2825	  3.9258	 75.9613
           	  138	    123	   2948	  3.3073	 79.2686
           	  139	     84	   3032	  2.2587	 81.5273
           	  140	     77	   3109	  2.0704	 83.5977
           	  141	     69	   3178	  1.8553	 85.4531
           	  142	     57	   3235	  1.5327	 86.9857
           	  143	     60	   3295	  1.6133	 88.5991
           	  144	     40	   3335	  1.0756	 89.6746
           	  145	     26	   3361	  0.6991	 90.3738
           	  146	     21	   3382	  0.5647	 90.9384
           	  147	     18	   3400	  0.4840	 91.4224
           	  148	     24	   3424	  0.6453	 92.0678
           	  149	     15	   3439	  0.4033	 92.4711
           	  150	     13	   3452	  0.3496	 92.8207
           	  151	     11	   3463	  0.2958	 93.1164
           	  152	     10	   3473	  0.2689	 93.3853
           	  153	     12	   3485	  0.3227	 93.7080
           	  154	      8	   3493	  0.2151	 93.9231
           	  155	      9	   3502	  0.2420	 94.1651
           	  156	     12	   3514	  0.3227	 94.4878
           	  157	     10	   3524	  0.2689	 94.7567
           	  158	      2	   3526	  0.0538	 94.8104
           	  159	      5	   3531	  0.1344	 94.9449
           	  160	      2	   3533	  0.0538	 94.9987
           	  161	      3	   3536	  0.0807	 95.0793
           	  162	      3	   3539	  0.0807	 95.1600
           	  163	      0	   3539	  0.0000	 95.1600
           	  164	      4	   3543	  0.1076	 95.2675
